class_code	subject_code	topic_code	sub_topic_code	question	question_image	typed
10	2	1	1	"Express each number as a product of its prime factors:
(i) 140
(ii) 156
(iii) 3825
(iv) 5005
(v) 7429"		Exercise
10	2	1	1	"Find the LCM and HCF of the following pairs of integers and verify that $\mathrm{LCM} \times \mathrm{HCF}=$ product of the two numbers.
(i) 26 and 91
(ii) 510 and 92
(iii) 336 and 54"		Exercise
10	2	1	1	"Find the LCM and HCF of the following integers by applying the prime factorisation method.
(i) 12,15 and 21
(ii) 17,23 and 29
(iii) 8,9 and 25"		Exercise
10	2	1	1	Given that $\operatorname{HCF}(306,657)=9$, find $\operatorname{LCM}(306,657)$.		Exercise
10	2	1	1	Check whether $6^{n}$ can end with the digit 0 for any natural number $n$.		Exercise
10	2	1	1	Explain why $7 \times 11 \times 13+13$ and $7 \times 6 \times 5 \times 4 \times 3 \times 2 \times 1+5$ are composite numbers.		Exercise
10	2	1	1	"There is a circular path around a sports field. Sonia takes 18 minutes to drive one round of the field, while Ravi takes 12 minutes for the same. Suppose they both start at the
same point and at the same time, and go in the same direction. After how many minutes will they meet again at the starting point?"		Exercise
10	2	1	2	Prove that $\sqrt{5}$ is irrational.		Exercise
10	2	1	2	Prove that $3+2 \sqrt{5}$ is irrational.		Exercise
10	2	1	2	"Prove that the following are irrationals :
(i) $\frac{1}{\sqrt{2}}$
(ii) $7 \sqrt{5}$
(iii) $6+\sqrt{2}$"		Exercise
10	2	1		Consider the numbers $4^{n}$, where $n$ is a natural number. Check whether there is any value of $n$ for which $4^{n}$ ends with the digit zero.		Solved
10	2	1		Find the LCM and HCF of 6 and 20 by the prime factorisation method.		Solved
10	2	1		Find the HCF of 96 and 404 by the prime factorisation method. Hence, find their LCM.		Solved
10	2	1		Find the HCF and LCM of 6, 72 and 120, using the prime factorisation method.		Solved
10	2	1		Prove that $\sqrt{3}$ is irrational.		Solved
10	2	1		Show that $5-\sqrt{3}$ is irrational.		Solved
10	2	1		Show that $3 \sqrt{2}$ is irrational.		Solved
